Sorted For Accuracy:
                                   model     threshold        f1  accuracy  precision    recall
32                         xgboost_basic  2.990000e-01  0.571203  0.854104   0.596309  0.548126
34                  xgboost_over_sampled  3.083000e-01  0.566558  0.849884   0.587336  0.547200
35                 xgboost_under_sampled  6.588000e-01  0.565984  0.848042   0.586107  0.547197
10              extra_trees_over_sampled  5.040000e-01  0.542616  0.846849   0.589610  0.502560
4                    decision_tree_basic  3.000000e-01  0.553340  0.846377   0.584726  0.525152
28                    sgd_log_loss_basic  3.127000e-01  0.551991  0.845701   0.573566  0.531980
13  gaussian_naive_bayes_combine_sampled  8.673617e-18  0.517047  0.845192   0.593675  0.457939
8                      extra_trees_basic  2.792000e-01  0.553674  0.844674   0.571562  0.536871
15    gaussian_naive_bayes_under_sampled  8.673617e-18  0.368541  0.843378   0.648759  0.257374
16               gradient_boosting_basic  2.695000e-01  0.565618  0.842869   0.562968  0.568293
6             decision_tree_over_sampled  4.340000e-01  0.550469  0.842240   0.564552  0.537072
7            decision_tree_under_sampled  6.420000e-01  0.553434  0.841343   0.560663  0.546390
20                   random_forest_basic  2.471000e-01  0.548372  0.840500   0.549669  0.547081
19       gradient_boosting_under_sampled  6.277000e-01  0.564314  0.838890   0.547835  0.581815
2                 ada_boost_over_sampled  4.996000e-01  0.506547  0.838872   0.557796  0.463922
33               xgboost_combine_sampled  4.961000e-01  0.560420  0.838252   0.543353  0.578595
23           random_forest_under_sampled  5.900000e-01  0.543152  0.837667   0.536608  0.549858
29          sgd_log_loss_combine_sampled  5.830000e-01  0.499237  0.836000   0.522364  0.478070
31            sgd_log_loss_under_sampled  6.515000e-01  0.548605  0.834652   0.537152  0.560558
26           sgd_huber_loss_over_sampled  1.300000e-01  0.408564  0.834250   0.533800  0.330925
12            gaussian_naive_bayes_basic  8.673617e-18  0.494005  0.833255   0.543701  0.452632
17     gradient_boosting_combine_sampled  5.770000e-01  0.515942  0.833000   0.532297  0.500562
5          decision_tree_combine_sampled  6.520000e-01  0.543664  0.832783   0.534512  0.553135
11             extra_trees_under_sampled  5.990000e-01  0.548289  0.831635   0.529110  0.568911
18        gradient_boosting_over_sampled  3.473000e-01  0.519144  0.829200   0.507151  0.531719
21         random_forest_combine_sampled  6.630000e-01  0.509363  0.825333   0.527132  0.492754
0                        ada_boost_basic  4.991000e-01  0.533035  0.822104   0.501875  0.568321
9            extra_trees_combine_sampled  6.336000e-01  0.527942  0.819901   0.494929  0.565674
3                ada_boost_under_sampled  5.003000e-01  0.540842  0.808889   0.478576  0.621735
1              ada_boost_combine_sampled  4.999000e-01  0.512745  0.798516   0.453955  0.589028
22            random_forest_over_sampled  4.978000e-01  0.509897  0.793667   0.436906  0.612167
24                  sgd_huber_loss_basic  8.000000e-01  0.484991  0.781250   0.430962  0.554509
25        sgd_huber_loss_combine_sampled  8.920000e-01  0.465335  0.772500   0.391304  0.573913
30             sgd_log_loss_over_sampled  1.354000e-01  0.468151  0.743250   0.381113  0.606711
27          sgd_huber_loss_under_sampled  8.000000e-01  0.445018  0.731250   0.352412  0.603641
14     gaussian_naive_bayes_over_sampled  9.971000e-01  0.432995  0.700906   0.327878  0.637317
Sorted For F1:
                                   model     threshold        f1  accuracy  precision    recall
32                         xgboost_basic  2.990000e-01  0.571203  0.854104   0.596309  0.548126
34                  xgboost_over_sampled  3.083000e-01  0.566558  0.849884   0.587336  0.547200
35                 xgboost_under_sampled  6.588000e-01  0.565984  0.848042   0.586107  0.547197
16               gradient_boosting_basic  2.695000e-01  0.565618  0.842869   0.562968  0.568293
19       gradient_boosting_under_sampled  6.277000e-01  0.564314  0.838890   0.547835  0.581815
33               xgboost_combine_sampled  4.961000e-01  0.560420  0.838252   0.543353  0.578595
8                      extra_trees_basic  2.792000e-01  0.553674  0.844674   0.571562  0.536871
7            decision_tree_under_sampled  6.420000e-01  0.553434  0.841343   0.560663  0.546390
4                    decision_tree_basic  3.000000e-01  0.553340  0.846377   0.584726  0.525152
28                    sgd_log_loss_basic  3.127000e-01  0.551991  0.845701   0.573566  0.531980
6             decision_tree_over_sampled  4.340000e-01  0.550469  0.842240   0.564552  0.537072
31            sgd_log_loss_under_sampled  6.515000e-01  0.548605  0.834652   0.537152  0.560558
20                   random_forest_basic  2.471000e-01  0.548372  0.840500   0.549669  0.547081
11             extra_trees_under_sampled  5.990000e-01  0.548289  0.831635   0.529110  0.568911
5          decision_tree_combine_sampled  6.520000e-01  0.543664  0.832783   0.534512  0.553135
23           random_forest_under_sampled  5.900000e-01  0.543152  0.837667   0.536608  0.549858
10              extra_trees_over_sampled  5.040000e-01  0.542616  0.846849   0.589610  0.502560
3                ada_boost_under_sampled  5.003000e-01  0.540842  0.808889   0.478576  0.621735
0                        ada_boost_basic  4.991000e-01  0.533035  0.822104   0.501875  0.568321
9            extra_trees_combine_sampled  6.336000e-01  0.527942  0.819901   0.494929  0.565674
18        gradient_boosting_over_sampled  3.473000e-01  0.519144  0.829200   0.507151  0.531719
13  gaussian_naive_bayes_combine_sampled  8.673617e-18  0.517047  0.845192   0.593675  0.457939
17     gradient_boosting_combine_sampled  5.770000e-01  0.515942  0.833000   0.532297  0.500562
1              ada_boost_combine_sampled  4.999000e-01  0.512745  0.798516   0.453955  0.589028
22            random_forest_over_sampled  4.978000e-01  0.509897  0.793667   0.436906  0.612167
21         random_forest_combine_sampled  6.630000e-01  0.509363  0.825333   0.527132  0.492754
2                 ada_boost_over_sampled  4.996000e-01  0.506547  0.838872   0.557796  0.463922
29          sgd_log_loss_combine_sampled  5.830000e-01  0.499237  0.836000   0.522364  0.478070
12            gaussian_naive_bayes_basic  8.673617e-18  0.494005  0.833255   0.543701  0.452632
24                  sgd_huber_loss_basic  8.000000e-01  0.484991  0.781250   0.430962  0.554509
30             sgd_log_loss_over_sampled  1.354000e-01  0.468151  0.743250   0.381113  0.606711
