fbi,crimes,arrests,arrest_rate
16,60049,59778,0.9954870189345368
18,599979,596381,0.9940031234426538
22,11984,11868,0.9903204272363151
19,13504,13229,0.979635663507109
01B,41,37,0.9024390243902439
24,47508,40718,0.8570767028710954
15,66154,52470,0.7931493182573994
13,2277,1711,0.751427316644708
01A,9096,4200,0.46174142480211083
26,623393,240210,0.3853267521451155
04A,98163,30847,0.31424263724621293
17,26657,7313,0.27433694714333945
12,1115,280,0.25112107623318386
08B,959404,222351,0.23175950902852188
04B,159277,33224,0.20859257771052944
08A,285744,57568,0.20146704742706759
20,25416,5050,0.198693736229147
02,27280,4331,0.15876099706744867
11,199786,31284,0.1565875486770845
10,33791,4716,0.1395637891746323
09,9740,1182,0.1213552361396304
06,1293290,150507,0.11637529092469594
03,233188,22523,0.09658730294869376
07,280677,24306,0.08659776184012227
14,701948,48741,0.06943676739587548
05,356438,20150,0.05653157070794921
