iucr,crimes,arrests,arrest_rate
4740,8,8,1.0
1610,15,15,1.0
1531,18,18,1.0
2251,8,8,1.0
1681,5,5,1.0
1630,12,12,1.0
1526,10,10,1.0
2111,261,261,1.0
2080,30,30,1.0
1622,7,7,1.0
1611,71,71,1.0
1625,2,2,1.0
1627,3,3,1.0
1440,2,2,1.0
2240,63,63,1.0
2120,7,7,1.0
2033,25,25,1.0
1633,1,1,1.0
1515,69,69,1.0
1640,2,2,1.0
1520,91,91,1.0
5122,3,3,1.0
2160,117,117,1.0
1697,1,1,1.0
1650,13,13,1.0
1521,1,1,1.0
2030,70,70,1.0
1631,54,54,1.0
2026,3041,3035,0.9980269648142058
2095,19380,19321,0.9969556243550052
1512,2124,2117,0.9967043314500942
1525,592,590,0.9966216216216216
1670,534,532,0.9962546816479401
1513,13040,12989,0.9960889570552147
1680,503,501,0.9960238568588469
1506,41113,40946,0.995938024469146
2021,1462,1456,0.9958960328317373
2092,24589,24488,0.9958924722436862
1507,220,219,0.9954545454545455
2094,4526,4505,0.9953601414052143
2024,81630,81243,0.9952590959206175
1822,10369,10317,0.9949850515961037
2011,197,196,0.9949238578680203
2028,3256,3238,0.9944717444717445
1811,255604,254172,0.9943975837623824
2022,22424,22294,0.9942026400285409
1821,10385,10323,0.9940298507462687
2034,167,166,0.9940119760479041
1651,327,325,0.9938837920489296
1549,321,319,0.9937694704049844
2023,3041,3022,0.9937520552449852
2220,3174,3154,0.9936988027725268
4625,5263,5229,0.9935398061941858
2110,619,615,0.9935379644588045
1536,152,151,0.993421052631579
2025,3794,3769,0.9934106483921982
2170,8766,8708,0.9933835272644308
2017,20229,20094,0.9933264125760047
1626,294,292,0.9931972789115646
2027,100028,99328,0.9930019594513536
1661,11345,11265,0.9929484354341119
2012,2245,2229,0.9928730512249443
2210,2613,2592,0.9919632606199771
2040,121,120,0.9917355371900827
2014,22309,22121,0.9915729077950602
1812,15537,15405,0.9915041513805753
2093,14969,14839,0.9913153851292672
2010,113,112,0.9911504424778761
2230,3687,3652,0.9905071874152428
2020,604,598,0.9900662251655629
2016,400,396,0.99
2031,594,588,0.98989898989899
2032,93,92,0.989247311827957
2013,642,635,0.9890965732087228
1505,2258,2233,0.9889282550930026
5111,1118,1104,0.9874776386404294
2029,303,299,0.9867986798679867
2091,3148,3102,0.9853875476493011
2250,2439,2399,0.98359983599836
2070,59,58,0.9830508474576272
5110,790,776,0.9822784810126582
2015,569,558,0.9806678383128296
1850,354,347,0.980225988700565
2018,384,376,0.9791666666666666
1530,85,83,0.9764705882352941
1840,42,41,0.9761904761904762
5112,176,171,0.9715909090909091
2090,990,961,0.9707070707070707
2019,33,32,0.9696969696969697
3731,5412,5243,0.9687730968218773
1479,96,93,0.96875
2050,570,550,0.9649122807017544
1511,27,26,0.9629629629629629
1540,341,327,0.9589442815249267
1621,19,18,0.9473684210526315
3710,5524,5229,0.9465966690803765
4860,150,140,0.9333333333333333
1510,15,14,0.9333333333333333
1478,121,112,0.9256198347107438
1480,91,84,0.9230769230769231
4510,2049,1890,0.9224011713030746
3730,2171,2001,0.9216950713956702
0142,38,35,0.9210526315789473
1235,1348,1241,0.9206231454005934
0461,461,420,0.911062906724512
0454,12803,11650,0.9099429821135672
1335,497,452,0.9094567404426559
1541,110,99,0.9
4310,715,642,0.8979020979020979
1255,309,277,0.8964401294498382
3720,18,16,0.8888888888888888
1620,9,8,0.8888888888888888
3760,512,453,0.884765625
1450,33,29,0.8787878787878788
5008,188,165,0.8776595744680851
143A,44304,38675,0.8729460093896714
5131,181,157,0.8674033149171271
0470,27939,24170,0.8650989656036365
1350,31661,27375,0.8646284071886549
0554,6171,5296,0.8582077459082806
1715,26,22,0.8461538461538461
3770,6,5,0.8333333333333334
1860,6,5,0.8333333333333334
3100,1384,1139,0.8229768786127167
502R,7595,6246,0.8223831468071099
3750,297,243,0.8181818181818182
1537,65,53,0.8153846153846154
143B,2469,2001,0.81044957472661
1460,1995,1609,0.8065162907268171
1220,7568,6081,0.803514799154334
2060,5,4,0.8
143C,1378,1096,0.795355587808418
1330,108246,85723,0.7919276462871607
5130,90,70,0.7777777777777778
3920,35,27,0.7714285714285715
142A,178,136,0.7640449438202247
1200,2277,1711,0.751427316644708
0551,76,57,0.75
5120,4,3,0.75
1574,12,9,0.75
3740,23,17,0.7391304347826086
0453,1376,1014,0.7369186046511628
3751,15,11,0.7333333333333333
2900,1961,1435,0.731769505354411
1435,153,111,0.7254901960784313
0553,1158,829,0.7158894645941278
2860,2179,1525,0.6998623221661312
141C,7325,5080,0.6935153583617747
1900,114,79,0.6929824561403509
5121,13,9,0.6923076923076923
0451,16,11,0.6875
1260,50,34,0.68
0141,3,2,0.6666666666666666
0550,922,608,0.6594360086767896
4388,562,369,0.6565836298932385
5132,40,26,0.65
0450,184,119,0.6467391304347826
2890,1706,1098,0.6436107854630715
3000,56,36,0.6428571428571429
3910,139,89,0.6402877697841727
4652,183,116,0.6338797814207651
4650,3357,2126,0.6333035448316949
3200,8,5,0.625
0860,168832,101818,0.6030728771796816
0462,465,279,0.6
142B,52,30,0.5769230769230769
1210,27473,15761,0.5736905325228406
3800,657,351,0.5342465753424658
502P,20788,10771,0.518135462766981
1570,6232,3172,0.5089858793324775
0581,116,59,0.5086206896551724
1170,819,415,0.5067155067155067
1370,331,166,0.5015105740181269
0552,513,257,0.5009746588693957
0493,2,1,0.5
5009,38,19,0.5
3610,26,13,0.5
0937,185,92,0.4972972972972973
3300,95,47,0.49473684210526314
1030,75,37,0.49333333333333335
1360,11098,5343,0.4814380969544062
0484,15025,7172,0.4773377703826955
4387,30231,14210,0.4700473024378949
1720,521,244,0.46833013435700577
0110,9096,4200,0.46174142480211083
1035,40,18,0.45
0938,9,4,0.4444444444444444
0556,81,36,0.4444444444444444
0557,498,220,0.44176706827309237
1230,25,11,0.44
4651,4123,1797,0.43584768372544264
051B,1737,747,0.43005181347150256
2840,1066,440,0.41275797373358347
0452,194,80,0.41237113402061853
1710,6040,2444,0.40463576158940395
502T,425,170,0.4
5013,5,2,0.4
5011,6523,2565,0.39322397669783843
0558,1096,429,0.3914233576642336
5001,7908,3094,0.39124936772888214
1725,123,48,0.3902439024390244
4389,59,23,0.3898305084745763
141A,3095,1205,0.3893376413570275
0545,14149,5454,0.3854689377341155
1365,24973,9380,0.3756056541064349
0488,355,133,0.37464788732394366
0498,3594,1339,0.37256538675570394
0499,1530,567,0.37058823529411766
0584,160,59,0.36875
0496,12657,4664,0.36849174369913884
0485,664,244,0.3674698795180723
0262,28,10,0.35714285714285715
0555,346,123,0.3554913294797688
1682,287,102,0.3554006968641115
1791,216,76,0.35185185185185186
0520,26832,9407,0.35058884913536076
0483,1315,447,0.33992395437262357
5005,3,1,0.3333333333333333
0494,3,1,0.3333333333333333
5073,9,3,0.3333333333333333
0495,2233,734,0.32870577698163905
0489,135,44,0.32592592592592595
0482,162,52,0.32098765432098764
0530,22625,7179,0.3173038674033149
0480,113,35,0.30973451327433627
0266,1969,606,0.30777044184865415
0275,219,67,0.3059360730593607
2895,23,7,0.30434782608695654
5007,7338,2190,0.29844644317252655
501A,3236,964,0.2978986402966625
141B,493,142,0.2880324543610548
3980,7,2,0.2857142857142857
1566,70,20,0.2857142857142857
0487,51,14,0.27450980392156865
1261,336,91,0.2708333333333333
0440,4114,1111,0.2700534759358289
1565,562,149,0.26512455516014233
1755,833,219,0.26290516206482595
1477,2399,629,0.2621925802417674
0331,932,244,0.26180257510729615
1750,12986,3397,0.26158940397350994
051A,42279,10955,0.2591120887438208
0930,18700,4835,0.2585561497326203
4810,31,8,0.25806451612903225
0274,39,10,0.2564102564102564
0497,18412,4714,0.25602867694981535
0475,83,21,0.25301204819277107
1140,1115,280,0.25112107623318386
0585,8,2,0.25
0481,28,7,0.25
3961,4,1,0.25
1585,573,142,0.24781849912739964
1754,2102,512,0.24357754519505234
1590,132,32,0.24242424242424243
0850,10191,2467,0.24207634187027768
0273,137,33,0.24087591240875914
1544,628,148,0.2356687898089172
4386,304,71,0.23355263157894737
0486,520257,120498,0.23161245307607586
2870,942,218,0.23142250530785563
1753,1138,259,0.22759226713532513
0420,22506,5108,0.22696169910246156
5003,137,31,0.22627737226277372
1562,4554,1029,0.2259552042160738
1340,4950,1095,0.22121212121212122
1563,7920,1751,0.22108585858585858
1025,1622,358,0.22071516646115907
0935,2427,534,0.2200247218788628
0865,893,194,0.21724524076147816
5002,31592,6852,0.21689035198784504
3975,88,19,0.2159090909090909
1535,93,20,0.21505376344086022
1345,13237,2825,0.21341693737251644
0479,2335,494,0.21156316916488221
4220,323,68,0.21052631578947367
4800,81,17,0.20987654320987653
0264,263,55,0.20912547528517111
5000,5831,1211,0.20768307322929172
0265,3934,798,0.20284697508896798
0271,129,26,0.20155038759689922
0460,407119,81898,0.2011647700058214
1185,793,159,0.2005044136191677
1481,5,1,0.2
501H,86,17,0.19767441860465115
4230,963,189,0.19626168224299065
1206,3965,775,0.19546027742749053
0263,917,177,0.193020719738277
3960,3061,549,0.1793531525645214
0560,262468,46400,0.17678345550695704
0291,1082,189,0.17467652495378927
1135,92,16,0.17391304347826086
0430,57589,10014,0.1738873743249579
1305,33633,5711,0.1698034668331698
1245,198,33,0.16666666666666666
500E,84,14,0.16666666666666666
1160,6,1,0.16666666666666666
033B,256,42,0.1640625
0895,1089,178,0.16345270890725436
0330,12019,1933,0.1608286879108079
1090,1570,251,0.15987261146496815
0340,8925,1387,0.15540616246498598
1752,2371,367,0.1547870097005483
1122,7305,1118,0.15304585900068446
5004,743,108,0.14535666218034993
0337,1767,256,0.144878324844369
1121,11392,1620,0.14220505617977527
1151,798,113,0.14160401002506265
0927,93,13,0.13978494623655913
0261,1479,206,0.13928329952670723
4240,74,10,0.13513513513513514
0650,5100,689,0.13509803921568628
1751,1660,223,0.13433734939759037
1375,812,108,0.1330049261083744
1265,76,10,0.13157894736842105
1120,15094,1978,0.13104544852259176
1055,23,3,0.13043478260869565
041B,799,104,0.13016270337922403
0580,2595,334,0.12870905587668593
1582,923,116,0.1256771397616468
0334,1942,236,0.121524201853759
5114,75,9,0.12
3966,25,3,0.12
2851,4001,469,0.11722069482629342
4210,559,65,0.11627906976744186
1110,12051,1371,0.1137664924072691
031B,1211,136,0.11230388109000826
3400,9,1,0.1111111111111111
0320,81243,8844,0.10885860935711385
0312,10448,1076,0.10298621745788668
0325,4500,463,0.10288888888888889
0583,245,25,0.10204081632653061
1050,30,3,0.1
0281,13841,1383,0.09992052597355683
0630,15315,1520,0.09924910218739798
033A,7522,746,0.09917575113001861
0326,8203,809,0.09862245519931732
0313,11290,1039,0.09202834366696191
1792,2145,197,0.09184149184149185
2850,5036,450,0.08935663224781573
1130,28883,2565,0.08880656441505384
1020,6448,562,0.08715880893300249
1010,92,8,0.08695652173913043
1580,36,3,0.08333333333333333
041A,32092,2586,0.0805808301134239
1564,102,8,0.0784313725490196
1310,320337,24987,0.07800222890268686
0910,221221,16597,0.07502452298832389
3970,396,28,0.0707070707070707
0917,4795,317,0.06611053180396247
031A,82930,5312,0.06405402146388521
1790,3025,186,0.06148760330578512
500N,114,7,0.06140350877192982
0915,22397,1342,0.059918739116846004
1195,1676,100,0.059665871121718374
0820,470963,27241,0.057841061824389604
0918,129,7,0.05426356589147287
0620,95642,5185,0.05421258442943477
0920,9646,515,0.0533900062201949
0610,240381,12756,0.05306575810900196
1205,390,19,0.04871794871794872
0925,1069,50,0.04677268475210477
1241,22,1,0.045454545454545456
1320,328572,13839,0.04211862240239582
1240,395,15,0.0379746835443038
4255,1430,53,0.03706293706293706
0810,307493,10598,0.03446582523829811
1155,566,19,0.03356890459363958
1150,50590,1630,0.03221980628582724
5093,105,3,0.02857142857142857
0842,2523,68,0.026952041220768927
0890,227246,6038,0.026570324670181212
0880,16699,432,0.025869812563626565
1242,1783,43,0.02411665731912507
2820,121753,2674,0.02196249784399563
2826,23944,501,0.02092382225192115
0870,33277,669,0.02010397571896505
1780,8982,163,0.018147405922957025
0840,37857,633,0.016720817814406846
2825,88821,1271,0.0143096790173495
0843,2914,38,0.013040494166094716
1153,19039,196,0.010294658332895635
0841,13312,133,0.009990985576923076
2830,3443,28,0.00813244263723497
1152,31293,253,0.008084875211708689
1154,6555,47,0.007170099160945843
1156,2763,17,0.006152732537097358
4750,1,0,0.0
0492,1,0,0.0
0272,3,0,0.0
0928,6,0,0.0
0490,4,0,0.0
1572,6,0,0.0
5094,4,0,0.0
1578,1,0,0.0
1476,4,0,0.0
5113,3,0,0.0
1576,21,0,0.0
0510,4,0,0.0
0830,1,0,0.0
3962,1,0,0.0
1624,0,0,
9901,0,0,
