location,crimes,arrests,arrest_rate
BANQUET HALL,1,1,1.0
COUNTY JAIL,1,1,1.0
LIVERY AUTO,1,1,1.0
NURSING HOME,5,5,1.0
JUNK YARD/GARBAGE DUMP,1,1,1.0
COACH HOUSE,3,3,1.0
FACTORY,2,2,1.0
"CTA ""L"" TRAIN",2,2,1.0
LIVERY STAND OFFICE,2,2,1.0
LAKE,2,2,1.0
CHA BREEZEWAY,2,2,1.0
PUBLIC HIGH SCHOOL,2,2,1.0
CHA PLAY LOT,3,3,1.0
POOLROOM,1,1,1.0
FUNERAL PARLOR,1,1,1.0
ELEVATOR,1,1,1.0
GOVERNMENT BUILDING,2,2,1.0
PUBLIC GRAMMAR SCHOOL,1,1,1.0
LAUNDRY ROOM,2,2,1.0
CLUB,14,13,0.9285714285714286
CHA HALLWAY,29,24,0.8275862068965517
HOTEL,17,14,0.8235294117647058
HOUSE,505,388,0.7683168316831683
CTA PROPERTY,4,3,0.75
"CTA ""L"" PLATFORM",4,3,0.75
CHA GROUNDS,36,27,0.75
BASEMENT,27,20,0.7407407407407407
LIQUOR STORE,7,5,0.7142857142857143
CHA STAIRWELL,6,4,0.6666666666666666
TRAILER,3,2,0.6666666666666666
SEWER,3,2,0.6666666666666666
TAXI CAB,6,4,0.6666666666666666
YMCA,3,2,0.6666666666666666
CHA HALLWAY/STAIRWELL/ELEVATOR,15253,9754,0.639480757883695
OFFICE,15,9,0.6
MOTEL,5,3,0.6
HALLWAY,83,49,0.5903614457831325
RETAIL STORE,68,40,0.5882352941176471
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1605,912,0.5682242990654206
DEPARTMENT STORE,75993,43166,0.5680260023949575
DRUG STORE,26593,14585,0.5484526003083519
JAIL / LOCK-UP FACILITY,907,496,0.5468577728776185
BARBER SHOP/BEAUTY SALON,13,7,0.5384615384615384
GROCERY FOOD STORE,75838,40830,0.5383844510667476
CTA PLATFORM,28083,14942,0.5320656625004451
VESTIBULE,17,9,0.5294117647058824
GARAGE,55,29,0.5272727272727272
PARKING LOT,153,80,0.5228758169934641
CHA PARKING LOT/GROUNDS,28450,14868,0.5226010544815466
CTA TRACKS - RIGHT OF WAY,117,60,0.5128205128205128
CHA PARKING LOT,39,20,0.5128205128205128
OTHER RAILROAD PROP / TRAIN DEPOT,4708,2406,0.5110450297366185
TRUCK,8,4,0.5
GANGWAY,62,31,0.5
ROOMING HOUSE,2,1,0.5
CHA LOBBY,4,2,0.5
