location,crimes,arrests,arrest_rate
GOVERNMENT BUILDING,2,2,1.0
FACTORY,2,2,1.0
COACH HOUSE,3,3,1.0
LAKE,2,2,1.0
CHA PLAY LOT,3,3,1.0
ELEVATOR,1,1,1.0
COUNTY JAIL,1,1,1.0
LIVERY STAND OFFICE,2,2,1.0
PUBLIC GRAMMAR SCHOOL,1,1,1.0
JUNK YARD/GARBAGE DUMP,1,1,1.0
FUNERAL PARLOR,1,1,1.0
NURSING HOME,5,5,1.0
PUBLIC HIGH SCHOOL,2,2,1.0
"CTA ""L"" TRAIN",2,2,1.0
CHA BREEZEWAY,2,2,1.0
LIVERY AUTO,1,1,1.0
BANQUET HALL,1,1,1.0
LAUNDRY ROOM,2,2,1.0
POOLROOM,1,1,1.0
CLUB,14,13,0.9285714285714286
CHA HALLWAY,29,24,0.8275862068965517
HOTEL,17,14,0.8235294117647058
HOUSE,505,388,0.7683168316831683
"CTA ""L"" PLATFORM",4,3,0.75
CHA GROUNDS,36,27,0.75
CTA PROPERTY,4,3,0.75
BASEMENT,27,20,0.7407407407407407
CHA HALLWAY/STAIRWELL/ELEVATOR,20204,14678,0.726489803999208
LIQUOR STORE,7,5,0.7142857142857143
CHA PARKING LOT/GROUNDS,44349,30655,0.691221899028163
TRAILER,3,2,0.6666666666666666
SEWER,3,2,0.6666666666666666
CHA STAIRWELL,6,4,0.6666666666666666
TAXI CAB,6,4,0.6666666666666666
YMCA,3,2,0.6666666666666666
POLICE FACILITY/VEH PARKING LOT,15982,10360,0.6482292579151545
JAIL / LOCK-UP FACILITY,1042,630,0.6046065259117083
OFFICE,15,9,0.6
MOTEL,5,3,0.6
CTA PLATFORM,32188,19025,0.591058779669442
HALLWAY,83,49,0.5903614457831325
RETAIL STORE,68,40,0.5882352941176471
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1612,918,0.5694789081885856
DEPARTMENT STORE,76123,43296,0.5687637113618749
DRUG STORE,27204,15178,0.5579326569622114
OTHER RAILROAD PROP / TRAIN DEPOT,5174,2861,0.5529570931580982
GROCERY FOOD STORE,76776,41762,0.5439460247994164
BARBER SHOP/BEAUTY SALON,13,7,0.5384615384615384
VESTIBULE,17,9,0.5294117647058824
GARAGE,55,29,0.5272727272727272
PARKING LOT,153,80,0.5228758169934641
CTA TRACKS - RIGHT OF WAY,117,60,0.5128205128205128
CHA PARKING LOT,39,20,0.5128205128205128
SIDEWALK,627842,321268,0.5117019887169065
ABANDONED BUILDING,10506,5341,0.5083761660003807
TAVERN,32,16,0.5
RIVER BANK,4,2,0.5
ROOMING HOUSE,2,1,0.5
GANGWAY,62,31,0.5
TRUCK,8,4,0.5
CHA LOBBY,4,2,0.5
HIGHWAY/EXPRESSWAY,875,416,0.4754285714285714
STAIRWELL,19,9,0.47368421052631576
ALLEY,137611,63868,0.4641198741379686
BRIDGE,363,164,0.45179063360881544
VACANT LOT,92,41,0.44565217391304346
TAVERN/LIQUOR STORE,18371,7791,0.42409231941647163
CTA GARAGE / OTHER PROPERTY,9938,4010,0.4035017106057557
CTA STATION,4121,1657,0.40208687211841787
WOODED AREA,5,2,0.4
DUMPSTER,5,2,0.4
PORCH,279,111,0.3978494623655914
GAS STATION,66613,25891,0.3886778856979869
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,640,245,0.3828125
HOSPITAL,8,3,0.375
GAS STATION DRIVE/PROP.,43,16,0.37209302325581395
SCHOOL YARD,11,4,0.36363636363636365
AUTO,1069,387,0.36202057998129095
CONVENIENCE STORE,16344,5870,0.3591532060695056
VACANT LOT/LAND,22196,7960,0.35862317534690935
YARD,201,72,0.3582089552238806
SPORTS ARENA/STADIUM,4685,1668,0.3560298826040555
COLLEGE/UNIVERSITY RESIDENCE HALL,1273,444,0.3487824037706206
GOVERNMENT BUILDING/PROPERTY,12458,4302,0.34532027612778937
PARK PROPERTY,47600,16221,0.34077731092436975
FOREST PRESERVE,326,111,0.34049079754601225
FEDERAL BUILDING,704,237,0.3366477272727273
HORSE STABLE,3,1,0.3333333333333333
OTHER COMMERCIAL TRANSPORTATION,2633,874,0.33194075199392326
CHA APARTMENT,28471,8947,0.31424958729935726
RESIDENCE PORCH/HALLWAY,107156,33419,0.3118724103176677
LIBRARY,5501,1711,0.31103435738956553
"SCHOOL, PUBLIC, BUILDING",128004,39460,0.308271616511984
VEHICLE NON-COMMERCIAL,102555,31206,0.3042855053385988
APPLIANCE STORE,1599,477,0.29831144465290804
DRIVEWAY,17,5,0.29411764705882354
HOTEL/MOTEL,25232,7369,0.29204977805960686
AIRPORT TRANSPORTATION SYSTEM (ATS),85,24,0.2823529411764706
STREET,1581639,444943,0.2813176710994102
AIRPORT/AIRCRAFT,13071,3674,0.28108025399739883
SMALL RETAIL STORE,110348,30100,0.27277340776452674
MOVIE HOUSE/THEATER,2278,611,0.26821773485513606
CTA BUS STOP,6195,1629,0.262953995157385
"SCHOOL, PUBLIC, GROUNDS",26638,6870,0.2579022449132818
COLLEGE/UNIVERSITY GROUNDS,5189,1319,0.25419155906725766
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,8,2,0.25
RAILROAD PROPERTY,12,3,0.25
CURRENCY EXCHANGE,9615,2292,0.23837753510140405
HOSPITAL BUILDING/GROUNDS,18699,4413,0.23600192523664368
"SCHOOL, PRIVATE, GROUNDS",3696,856,0.23160173160173161
BAR OR TAVERN,33877,7359,0.21722702718658676
WAREHOUSE,8114,1759,0.216785802316983
AIRPORT EXTERIOR - NON-SECURE AREA,725,155,0.21379310344827587
RESTAURANT,97582,20242,0.2074357975856203
RESIDENTIAL YARD (FRONT/BACK),69956,14275,0.20405683572531305
PAWN SHOP,534,108,0.20224719101123595
TAXICAB,6632,1328,0.20024125452352232
PARKING LOT/GARAGE(NON.RESID.),173890,34793,0.20008626142963942
GARAGE/AUTO REPAIR,10,2,0.2
BOWLING ALLEY,606,121,0.19966996699669967
"SCHOOL, PRIVATE, BUILDING",11965,2362,0.19740910990388633
CTA BUS,20041,3891,0.19415198842373135
COIN OPERATED MACHINE,946,183,0.193446088794926
LAKEFRONT/WATERFRONT/RIVERBANK,1038,200,0.1926782273603083
CAR WASH,2526,481,0.1904196357878068
SAVINGS AND LOAN,308,58,0.18831168831168832
CEMETARY,330,61,0.18484848484848485
OTHER,228139,42005,0.1841202074174078
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,777,137,0.17631917631917632
APARTMENT,662002,115380,0.17428950365708865
CTA TRAIN,23102,3924,0.16985542377283352
